ctxdemo: 93 contexts, 137579 context switches
  ctx 0x4b: 2088943001 TB execs (2243 entries)
  ctx 0x40: 126298600 TB execs (1306 entries)
  ctx 0x53: 119066129 TB execs (933 entries)
  ctx 0x00: 48586983 TB execs (68603 entries)
  ctx 0x41: 1076131 TB execs (1903 entries)
  ctx 0x18: 1055432 TB execs (1741 entries)
  ctx 0x04: 1041012 TB execs (3226 entries)
  ctx 0x56: 882547 TB execs (866 entries)
  ctx 0x4a: 876980 TB execs (850 entries)
  ctx 0x59: 876820 TB execs (813 entries)
  ctx 0x54: 876180 TB execs (826 entries)
  ctx 0x5a: 876100 TB execs (814 entries)
  ctx 0x57: 875054 TB execs (818 entries)
  ctx 0x5b: 874634 TB execs (803 entries)
  ctx 0x5c: 874551 TB execs (818 entries)
  ctx 0x58: 874362 TB execs (800 entries)
  ctx 0x55: 873901 TB execs (806 entries)
  ctx 0x10: 852283 TB execs (1771 entries)
  ctx 0x19: 801476 TB execs (1022 entries)
  ctx 0x2a: 785198 TB execs (1759 entries)
  ctx 0x15: 769558 TB execs (2034 entries)
  ctx 0x13: 733932 TB execs (909 entries)
  ctx 0x16: 726684 TB execs (930 entries)
  ctx 0x4e: 723734 TB execs (960 entries)
  ctx 0x08: 714120 TB execs (1240 entries)
  ctx 0x28: 654910 TB execs (994 entries)
  ctx 0x35: 647071 TB execs (862 entries)
  ctx 0x11: 616122 TB execs (769 entries)
  ctx 0x37: 606888 TB execs (746 entries)
  ctx 0x24: 606225 TB execs (897 entries)
  ctx 0x2c: 595081 TB execs (790 entries)
  ctx 0x2f: 594690 TB execs (794 entries)
  ctx 0x39: 594013 TB execs (767 entries)
  ctx 0x21: 593022 TB execs (889 entries)
  ctx 0x3a: 591984 TB execs (717 entries)
  ctx 0x2d: 586263 TB execs (709 entries)
  ctx 0x25: 583869 TB execs (808 entries)
  ctx 0x01: 581524 TB execs (843 entries)
  ctx 0x51: 579864 TB execs (829 entries)
  ctx 0x36: 51105 TB execs (148 entries)
  ctx 0x45: 48862 TB execs (158 entries)
  ctx 0x1d: 41294 TB execs (130 entries)
  ctx 0x23: 38790 TB execs (123 entries)
  ctx 0x20: 38752 TB execs (122 entries)
